"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-4b9dac521beb4844a92622e9fa72050b","AccessRelationship","","","id-fd453ed7d5284573a388d2388dd6c506","id-fbbae5d65d5f49b5ae8a33ffab10276a",""
"id-32c294ac8c3548358c491f328a437887","AssignmentRelationship","","","id-b26b1e334e73402daaa730b456e4cbe7","id-7d29db2d68b44f13aa10baa1a7f36029",""
"id-651feba566b04f70a2be5bc350b99bac","AssignmentRelationship","","","id-2e61c5adbc394035a134aebc68b80d6d","id-04825f283da1400689f434e7a21c6a1e",""
"id-f5b1c5ea635b49e992489afb0426ca27","AssignmentRelationship","","","id-812c29ce2c35445eb03889a7242e8b22","id-fd453ed7d5284573a388d2388dd6c506",""
"id-7814ead4b7d743f0b089fd69b5c042fa","AssociationRelationship","","","id-3af0e4854449488599784485dcb6a88f","id-7a27bb8ddfa94ae182a94b6817fabbe8",""
"id-cc4df25a6be64e068be894337e2ce61d","AssociationRelationship","","","id-017483c7451b47abaccb2c0a8e11f111","id-fb3ebd7438b24772995eecc8f46b6184",""
"id-a585e754baf8428bbec0f44001929203","AssociationRelationship","","","id-7d29db2d68b44f13aa10baa1a7f36029","id-3af0e4854449488599784485dcb6a88f",""
"id-e7ccbd8acdd5416cbfe132cbd10f2d59","AssociationRelationship","","","id-26f1eed5d6684b5a8195d6db2cce6560","id-233ee7ec628a44ceaf1ef13d63c8047a",""
"id-0c23b7225ffd44b187729679857d9b92","AssociationRelationship","","","id-3049e3f20eeb4210878385bb5cda24ec","id-d650aec6d47e408b86b6d1b24760c357",""
"id-17ced24115b5421ea66b44fe2ad1c315","AssociationRelationship","","","id-d5e7e5fb39094dfd8b97e4b2da67cf03","id-f775ac11d6a64846a6132b70a39d1f50",""
"id-115926312178452e96fa0bbdcb0f07ca","AssociationRelationship","","","id-f8b83a76c4d64a7fb9353bb7988e2500","id-233ee7ec628a44ceaf1ef13d63c8047a",""
"id-90aad371bca344e594717c2b5296c06f","AssociationRelationship","","","id-f8b83a76c4d64a7fb9353bb7988e2500","id-9562dc01ab684741bc3deb0c04519118",""
"id-80e6f684fc194cb28616363be32668c5","AssociationRelationship","","","id-d650aec6d47e408b86b6d1b24760c357","id-f775ac11d6a64846a6132b70a39d1f50",""
"id-37599f8bda0746f8903bcfd13e54d9b3","AssociationRelationship","","","id-3dcc224a78804acd9e183c0b59ebe386","id-26f1eed5d6684b5a8195d6db2cce6560",""
"id-1563494620ba4d07b65eb1684e7d5e2a","AssociationRelationship","","","id-80f73a87372641db9c613be56775fc33","id-9562dc01ab684741bc3deb0c04519118",""
"id-8b50b7c9bdf349049b7c023118afac3b","AssociationRelationship","","","id-ce2ca0d060a448c9934d0acc3bd48f71","id-3dcc224a78804acd9e183c0b59ebe386",""
"id-6739c285f00f4ca98a840b805ab20bbd","AssociationRelationship","","","id-e354027336844b529ddb22ff31fa4e45","id-f6bfb5696c364ec191eabce010822af1",""
"id-37e87f572983478da89c0c8c00058a4e","AssociationRelationship","","","id-cf9415a0535e49c5a443dca022c8bcea","id-0ee8936edf874f06838c882383a60ad4",""
"id-8fe34655daaf4402b958fd6c31c0fdd0","AssociationRelationship","","","id-f6bfb5696c364ec191eabce010822af1","id-cf9415a0535e49c5a443dca022c8bcea",""
"id-0f2187d627774fe1bca986ca0e89f1c1","AssociationRelationship","","","id-0ee8936edf874f06838c882383a60ad4","id-8b96183ce76b4dfca530b8a29247947f",""
"id-c11e1c69a6834204a9c1c59b8590a6aa","FlowRelationship","","","id-c6ddcab8eeb6402dafa6bb0acbf82bc0","id-f879664c55c1451da10f82a383c57647",""
"id-ae23e1b718d247f593c8db17bad66a69","FlowRelationship","","","id-f879664c55c1451da10f82a383c57647","id-775411f2e2904e788cc5ec8c3a8c9616",""
"id-1a0139eaa601449c9e75f61c77f70701","RealizationRelationship","","","id-017483c7451b47abaccb2c0a8e11f111","id-7a27bb8ddfa94ae182a94b6817fabbe8",""
"id-48f0e9bb5b264678a7d99025d783cb7f","RealizationRelationship","","","id-04dddcbbb49149f290fa79668f0c6b0f","id-80f73a87372641db9c613be56775fc33",""
"id-fbc1741c65b54b1ea98eb9050152ebfe","RealizationRelationship","","","id-e6f89d3bcc1d489185986089cf3f4b9f","id-ce2ca0d060a448c9934d0acc3bd48f71",""
"id-757d6ae2d753498b9417569415f3a3e6","RealizationRelationship","","","id-060d86a1d46249baa114900f9982e371","id-d5e7e5fb39094dfd8b97e4b2da67cf03",""
"id-eb1373face3f4644ae5be7d3e507364f","RealizationRelationship","","","id-6c13a21fc0cc4e6488ed406e1bd29878","id-d5e7e5fb39094dfd8b97e4b2da67cf03",""
"id-4240248fd7bb47bda82d8bd5d6d1205d","RealizationRelationship","","","id-67cfd2b9fc7f4a47a252643fa4968203","id-ce2ca0d060a448c9934d0acc3bd48f71",""
"id-56cf7e3ec6674b20b12f0ce609ac68b4","RealizationRelationship","","","id-de397db0bb5143fcbd3dd7921d80e68a","id-d5e7e5fb39094dfd8b97e4b2da67cf03",""
"id-2eadeb7b0e7747c088206cd41b8d9edc","RealizationRelationship","","","id-666422d33d9b4dbb9856ab178e42cad0","id-ce2ca0d060a448c9934d0acc3bd48f71",""
"id-57b57a93795f4c33a91377e0ed3f41e9","RealizationRelationship","","","id-6c13a21fc0cc4e6488ed406e1bd29878","id-ce2ca0d060a448c9934d0acc3bd48f71",""
"id-5e2e80cb853644e7804a25dab16f0421","RealizationRelationship","","","id-aeb8217720a54b83a7003e99d7c5a241","id-fd453ed7d5284573a388d2388dd6c506",""
"id-1803095f053c48109a897d9235f95e37","RealizationRelationship","","","id-e354027336844b529ddb22ff31fa4e45","id-a3eb7fc9460444ed93f8c15d4177d8a4",""
"id-337cef02375b4952b4d78c0d61333a89","RealizationRelationship","","","id-cf9415a0535e49c5a443dca022c8bcea","id-26e7141829da49e580acc6775135be38",""
"id-c492778e76d94429b4750c73f77b76c1","ServingRelationship","","","id-fd453ed7d5284573a388d2388dd6c506","id-017483c7451b47abaccb2c0a8e11f111",""
"id-b2cffe71188141a392cc929390eff6b4","TriggeringRelationship","","","id-029281d2f417475fa50d0f958cb36214","id-fb3ebd7438b24772995eecc8f46b6184",""
"id-a669bbc8590c4e5a87804dcefce647f7","TriggeringRelationship","","","id-fb3ebd7438b24772995eecc8f46b6184","id-8d33d11771a04011a26b43aec4c7e994",""